id;banque;contact_email;contact_tel;adresse_agence
1;application;Burkina Faso concept;Analyst;platforms structure Usability
2;transitional Tonga system;Latvia alarm;Chips multi-byte;Buckinghamshire Skyway
3;Specialist hacking;Prairie Rubber purple;deposit Philippine Peso navigate;Concrete Cross-platform SDD
4;optical Brand Nuevo Sol;Checking Account infrastructures;Group Savings Account Awesome Rubber Keyboard;Fish Principal Gambia
5;Metrics;revolutionary redundant Group;vortals;Turkish Lira backing up Gorgeous Rubber Bacon
6;Kenyan Shilling Incredible generate;index;sky blue Wisconsin Licensed Frozen Gloves;Kids input
7;mobile cross-platform index;hacking Cambridgeshire California;system;Checking Account Executive Bolivia
8;indigo Cotton card;wireless Wooden;Club Bike;Bahraini Dinar Toys
9;supply-chains monetize sexy;Administrator;application Frozen viral;data-warehouse Data
10;quantify iterate Unbranded;orchid;Moroccan Dirham;pixel foreground
