id;numero_caution;numero_appel_offre;numero_marche;objet_caution;type_caution;montant_caution;status_caution;date_demande;date_retrait;date_depot;banque_id;maitre_ouvrage_id
1;microchip Industrial;Turnpike Granite Electronics;Tennessee payment circuit;e-services Clothing SMS;PROVISOIRE;78763;RETOURNEE;2020-03-19;2020-03-19;2020-03-19;1;1
2;extensible New Hampshire;1080p;Berkshire;Walk Supervisor;PROVISOIRE;92394;RETOURNEE;2020-03-19;2020-03-19;2020-03-19;2;2
3;neutral installation Isle;parse Function-based Movies;GB;Guatemala Avon Florida;DEFINITIVE;98978;DEMANDEE;2020-03-19;2020-03-18;2020-03-19;3;3
4;Home Persistent Licensed Metal Keyboard;compelling process improvement port;online Outdoors Mobility;Awesome Soft Soap Solutions Vermont;DEFINITIVE;7511;DEMANDEE;2020-03-19;2020-03-19;2020-03-19;4;4
5;Engineer Handcrafted Metal Cheese Palladium;cross-platform;Unbranded;bottom-line JBOD;PROVISOIRE;56317;DEPOSEE;2020-03-19;2020-03-18;2020-03-18;5;5
6;Human;Chief;Stream Fish Tasty;national;DEFINITIVE;46626;RETOURNEE;2020-03-19;2020-03-18;2020-03-19;6;6
7;Dynamic Reunion;Customer;cross-platform utilize;Gorgeous Cotton Sausages Program;PROVISOIRE;6882;DEMANDEE;2020-03-19;2020-03-19;2020-03-19;7;7
8;Club Belgium;productize deposit;Idaho Road;Fiji Sharable;DEFINITIVE;22029;DEPOSEE;2020-03-18;2020-03-19;2020-03-19;8;8
9;Savings Account Sports;architectures;Run Cliff magenta;Unbranded Metal Chips Checking Account port;DEFINITIVE;59226;DEMANDEE;2020-03-18;2020-03-18;2020-03-19;9;9
10;Clothing;Soft Manager embrace;Extended;copying Paraguay;PROVISOIRE;70164;RETOURNEE;2020-03-18;2020-03-18;2020-03-19;10;10
